SQL> /

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       291          2  100134137 70501 2 1      130.2                                               
       292          2  100134140 70501 2 1       2604                                               
       293          2  100134142 70501 2 1        651                                               
       295          2  100134144 70501 2 1     2866.5                                               
       296          2  100134147 70501 2 1        651                                               
       297          2  100134150 70501 2 1      130.2                                               
       298          2  100134151 70501 2 1    1269.45                                               
       299          2  100134153 70501 2 1      32.55                                               
       300          2  100134154 70501 2 1    1023.37                                               
       301          2  100134155 70501 2 1      63.15                                               
       303          2  100134157 70501 2 1      911.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       305          2  100134165 70501 2 1      325.5                                               
       307          2  100134168 70501 2 1       1302                                               
       308          2  100134171 70501 2 1      130.2                                               
       309          2  100134391 70501 2 1      260.4                                               
       310          2  100134392 70501 2 1      60.12                                               
       311          2  100134394 70501 2 1      40.36                                               
       312          2  100134395 70501 2 1      260.4                                               
       313          2  100134397 70501 2 1     371.07                                               
       314          2  100134398 70501 2 1     644.49                                               
       315          2  100134399 70501 2 1     697.22                                               
       316          2  100134402 70501 2 1      325.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       316          3  100134402 70501 1 1      325.5                                               
       316          3  100134402 50115 2 1      325.5                                               
       317          2  100134403 70501 2 1      325.5                                               
       318          2  100134404 70501 2 1       65.1                                               
       321          2  100134408 70501 2 1        651                                               
       322          2  100134409 70501 2 1     553.35                                               
       323          2  100134410 70501 2 1     208.32                                               
       324          2  100134411 70501 2 1     134.76                                               
       325          2  100134412 70501 2 1      78.12                                               
       326          2  100134414 70501 2 1       1953                                               
       330          2  100134424 70501 2 1      84.63                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       332          2  100134318 70501 2 1     1432.2                                               
       332          3  100134318 70501 1 1     1432.2                                               
       332          3  100134318 50115 2 1     1432.2                                               
       333          2  100134319 70501 2 1     2278.5                                               
       334          2  100134320 70501 2 1      13.02                                               
       335          2  100134324 70501 2 1       3255                                               
       335          3  100134324 70501 1 1       3255                                               
       335          3  100134324 50115 2 1       3255                                               
       337          2  100134330 70501 2 1        651                                               
       339          2  100134333 70501 2 1    2205.59                                               
       340          2  100134335 70501 2 1        651                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       340          3  100134335 70501 1 1        651                                               
       340          3  100134335 50115 2 1        651                                               
       341          2  100134336 70501 2 1     2278.5                                               
       341          3  100134336 70501 1 1     2278.5                                               
       341          3  100134336 50115 2 1     2278.5                                               
       342          2  100134338 70501 2 1     312.48                                               
       343          2  100134339 70501 2 1      195.3                                               
       345          2  100134344 70501 2 1      130.2                                               
       346          2  100134346 70501 2 1      130.2                                               
       347          2  100134348 70501 2 1    8560.65                                               
